Category,Title,Snippet
UK-News,Donald Campbell's daughter in row over Bluebird's future,"A row over the future of Donald Campbell+AOIAgACZ-s restored Bluebird has erupted following the anniversary of his fatal crash 53 years ago. Campbell, who brok +ICY"
UK-News,Five injured in violent robberies in Northern Quarter in Manchester,Five people have been hospitalised following a spate of violent robberies in Manchester+AOIAgACZ-s Northern Quarter in the early hours of Sunday. Greater Manch +ICY
UK-News,Home Office faces legal cases over Zimbabwean asylum seekers,The Home Office faces a series of legal challenges over its decision to allow Zimbabwean government officials to interview people from the country who +ICY
UK-News,Scotland and north of England to be hit by winds of up to 75mph,"Winds of up to 75mph (120km/h) are forecast to hit Scotland and the north of England on Tuesday, while south-west England faces risk of flooding. Coas +ICY"
Music,Nicola Roberts: +AOIAgACY-My therapist said I was one of the most resilient people she+AOIAgACZ-d ever met+AOIAgACZ,"Last year was one of the happiest of Nicola Roberts+AOIAgACZ life. She signed off on the repossession of her home in Surrey and moved to London, close to frie +ICY"
Books,The Great Pretender by Susannah Cahalan review +AOIAgACT psychologist in the dock,"There are precious few biological tests for mental disorders, so diagnosis still rests on the observation of symptoms. Susannah Cahalan+AOIAgACZ-s first book, +ICY"
Books,Little Lulu: Working Girl by John Stanley review +AOIAgACT riot girl in a little red dress,I must admit that I knew nothing of Little Lulu until Drawn & Quarterly sent me the first volume of its full-colour reissue of her adventures (five ar +ICY
UK-News,Cave diver found dead in flooded passage in Cumbria,Police are investigating after a cave diver was found dead in a flooded section of one of England+AOIAgACZ-s largest underground cave networks. The body of a m +ICY
Music,Nirvana reunion: Dave Grohl's 13-year-old daughter steals the show,"Summary: When arts charity the Art of Elysium announced the lineup for its annual Heaven Is Rock and Roll Gala in Los Angeles, the attention was on the second +ICY"
Books,American Dirt by Jeanine Cummins review +AOIAgACT panic and pathos on the run from the cartel,"At the opening of Jeanine Cummins+AOIAgACZ-s devastating and timely novel, bookshop owner Lydia and her eight-year-old son, Luca, are the only survivors of a t +ICY"
Books,Poem of the week: House by Robert Browning,"House I Shall I sonnet-sing you about myself? Do I live in a house you would like to see? Is it scant of gear, has it store of pelf? +AOIAgACc-Unlock my heart +ICY"
UK-News,Reynhard Sinaga: the 'Peter Pan' student who raped scores of men,There is no such thing as a typical rapist. But both Reynhard Sinaga+AOIAgACZ-s friends and victims agree there was nothing about his friendly and unthreatenin +ICY
UK-News,How serial rapist posed as a good samaritan to lure victims,"Reynhard Sinaga+AOIAgACZ-s luck ran out shortly before 6am on 2 June 2017. For at least two-and-a-half years, the Indonesian student had honed his tactic of in +ICY"
Books,MC Beaton obituary,"The best known pseudonym of the crime writer Marion Chesney Gibbons, who has died aged 83, was MC Beaton, although she also wrote as Jennie Tremaine, +ICY"
UK-News,Reynhard Sinaga jailed for life for raping dozens of men in Manchester,"A man described as +AOIAgACc-Britain+AOIAgACZ-s most prolific rapist+AOIAgACd will never be safe to be released, a court heard on Monday, as he was jailed for a minimum of 30 y +ICY"
Books,"Tips, links and suggestions: what are you reading this week?",Welcome to this week+AOIAgACZ-s blogpost. Here+AOIAgACZ-s our roundup of your comments and photos from last week. Let+AOIAgACZ-s start with a success for captainlego who bought +ICY
UK-News,Off heir! Why it+AOIAgACZ-s time to ban royal weddings from TV,"If you woke up with a surfeit of sympathy today, you might spare a thought for Princess Beatrice and her betrothed, Edoardo Mapelli Mozzi. The BBC has +ICY"
UK-News,+AMIAow-18bn Crossrail line delayed again to autumn 2021,"London transport authorities do not expect the +AMIAow-18bn Crossrail line to open before autumn 2021, in the latest delay to Europe+AOIAgACZ-s largest infrastructure +ICY"
Books,Jonathan Coe wins Costa prize for +AOIAgACY-perfect+AOIAgACZ Brexit novel,"Jonathan Coe+AOIAgACZ-s portrait of a Britain torn apart by the Brexit referendum, Middle England, has won the Costa novel award, described by judges as the pe +ICY"
UK-News,Koko Camden: blaze strikes renowned London music venue,"Summary: Firefighters are attempting to save the prominent north London music venue Koko, as flames were seen billowing out of its roof on Monday evening. The +ICY"
UK-News,Prisoner reveals role in tackling London Bridge attacker with narwhal tusk,"Summary: A previously unidentified prisoner who helped tackle Usman Khan, the London Bridge knife attacker, has spoken for the first time about his role in the +ICY"
Music,Lizzo's Sydney Opera House performance was as close to transcendent as pop can get,"Summary: The floor rumbles as more than 2,000 people stamp their feet, raise their arms and bow down in unison as they chant the name +AOIAgACc-Lizzo+AOIAgACd. I find myself wi +ICY"
UK-News,Archaeologists find graves of high-status Romans in Somerset,The resting places of more than 50 adults and children have been found in an unusual Roman cemetery unearthed during building work for a new school in +ICY
Books,'Nobody in Tesco buys spy books by women': how female authors took on the genre,"When Stella Rimington, the former director general of MI5 and spy author, wrote a new foreword last year to The Spy+AOIAgACZ-s Bedside Book, Graham Greene and +ICY"
Books,"Such a Fun Age by Kiley Reid +AOIAgACT charming, authentic, entertaining","Summary: At the start of Kiley Reid+AOIAgACZ-s standout first novel, a security guard accosts a young black babysitter as she strolls the aisles of an upscale Philadelp +ICY"
Music,Hans Zimmer hired to score Bond film No Time to Die at last minute,"Hans Zimmer has been drafted in as a last-minute replacement to score the James Bond movie No Time to Die, less than three months before its release. +ICY"
UK-News,Teenager admits killing PC Andrew Harper,"A teenager has admitted killing a Thames Valley police officer. Newlywed Andrew Harper, 28, died from multiple injuries after being dragged under a va +ICY"
Books,Romantic fiction awards cancelled after racism row prompts mass boycott,"The US+AOIAgACZ-s most prestigious awards for romance writing, the Ritas, have been cancelled after a host of judges and entrants pulled out over an ongoing ra +ICY"
UK-News,Budget 2020: what will Sajid Javid announce?,Sajid Javid has announced the date of the budget as 11 March with a promise to kickstart a decade of renewal. Fresh from the landslide Conservative vi +ICY
UK-News,Neo-Nazi teenager who planned Durham attack sentenced to six years,A teenager with neo-Nazi views who planned a terror attack in Durham has been sentenced to six years and eight months in custody. The 17-year-old iden +ICY
UK-News,HS2 begins evicting activists from protest site after two years,HS2 has begun evicting a group of environmental protesters who have been living at a camp along the route of the rail project for more than two years. +ICY
UK-News,Racism in UK military: only six people found guilty at court martial in past five years,"Summary: Just over 17% of racially aggravated crimes investigated by military police over the past five years resulted in guilty verdicts at court martial, it +ICY"
UK-News,'People like you' still uttered: BAME armed forces personnel on racism in services,Summary: Serving soldiers from BAME backgrounds who spoke to the Guardian about their experience of the armed forces say the days of daily abuse and overt name +ICY
Music,Letter: Julian Piper obituary,"In 1998 Julian Piper invited us to go and interview the American blues guitarist Phil Guy, who was staying with him at his home in Topsham, Devon. Phi +ICY"
UK-News,Barclays +AMIAow-322m Qatar deal 'could be seen as way to hide payments',A former Barclays executive told a jury that the bank+AOIAgACZ-s directors took a legal risk by signing off on a controversial side deal with Qatar that he hel +ICY
Books,Half of a Yellow Sun summons a gilded age as well as an atrocious war,"There+AOIAgACZ-s an agonising social exchange towards the end of the first part of Half of a Yellow Sun. Richard, a British man, is talking to a Nigerian poet +ICY"
UK-News,"Cancelling HS2 would fail new Tory voters, Boris Johnson told",The Conservative mayor of the West Midlands has told Boris Johnson cancelling HS2 would fail the new Tory voters who returned him to No 10 last month +ICY
Books,Jasper Griffin obituary,"The classicist Jasper Griffin, who has died aged 82 of pneumonia, is best known for his work on the Iliad and the Odyssey, ancient Greek epic poems th +ICY"
UK-News,British military on standby to deploy to Gulf 'within 48 hours',"Summary: British warships, helicopters and several hundred military personnel have been put on standby of 48 hours or less for deployment in or near Iraq, read +ICY"
UK-News,Investigation after prisoner found dead in cell at Belmarsh,A remand prisoner has been found dead in his cell at HMP Belmarsh after a dispute over whether he should have been classified as disabled. Liridon Sal +ICY
UK-News,Parliament 'failing to keep ministers in check over committee delays',"Summary: Ministers and civil servants are not being properly scrutinised by parliament because of delays in setting up select committees, senior MPs have claim +ICY"
Books,One of Us Is Next by Karen M McManus review +AOIAgACT a thrilling sequel,"Given the tragic toll of shootings at US high schools, it might seem insensitive to set a new murder thriller subgenre in these painful spaces. But Ka +ICY"
Music,Doors drummer John Densmore: +AOIAgACY-It took me years to forgive Jim Morrison+AOIAgACZ,"It took the Doors+AOIAgACZ drummer, John Densmore, three years to visit the grave of his bandmate Jim Morrison after he was found dead in a Paris bathtub in 1 +ICY"
Music,Musical notes: Justin Bieber's TikTok-friendly Yummy is too eager to go viral,"Summary: Pop and rock music, in its multifarious forms, seems to shift faster than ever. In 2020, we+AOIAgACZ-re bombarded not just with music +AOIAgACT more of which is readil +ICY"
UK-News,Jersey+AOIAgACZ-s defiance under Nazi occupation revealed in records,Stories of defiance by residents of Jersey during the Nazi occupation of their island have emerged in records of political prisoners published 75 year +ICY
Books,Three Hours by Rosamund Lupton review +AOIAgACT 180 nail-biting minutes,"Rosamund Lupton+AOIAgACZ-s new novel opens on a +AOIAgACc-moment of stillness; as if time itself is waiting, can no longer be measured+AOIAgACd. This infinitesimal pause is fol +ICY"
Books,Top 10 books about toxic masculinity,"Toxic masculinity has become something of a buzz phrase, employed to describe and explain everything from poor dating etiquette to mass shootings and +ICY"
Music,Stephen Hough/Castalian Quartet review +AOIAgACTAMIAoA-ensemble and balance were spot-on,Stephen Hough+AOIAgACZ-s three-concert residency at the Wigmore Hall this week is built around chamber works by Brahms. Its centrepiece was a programme of two +ICY
UK-News,Welsh children's homes owner jailed for sexually abusing boys,"The owner of a group of children+AOIAgACZ-s homes has been jailed for 14-and-a-half years for sexually abusing boys in his care. John Allen, who was the owner +ICY"
Music,UK drill rapper Headie One jailed for six months for carrying knife,"Headie One, the Tottenham rapper who has had chart success with Stormzy and Dave, has been sentenced to six months in prison for carrying a knife. The +ICY"
Books,"With Prozac Nation, Elizabeth Wurtzel blew open the memoir as we know it","+AOIAgACY-I Hate Myself and I Want to Die.+AOIAgACd With the title of her prologue Elizabeth Wurtzel starts as she means to go on. Prozac Nation, published just over 2 +ICY"
Books,Haunts of the Black Masseur author Charles Sprawson dies aged 78,"Charles Sprawson, author of the cult swimming classic Haunts of the Black Masseur, has died at the age of 78. The news was announced by Sprawson+AOIAgACZ-s fri +ICY"
Books,A Case of Exploding Mangoes 'targeted by authorities after Urdu translation',"Copies of a decade-old, Booker-longlisted satire about the death of Pakistan+AOIAgACZ-s military dictator General Zia ul-Haq has been seized in a raid on the o +ICY"
Music,Wiley v Stormzy: sparks fly in grime's generation game,"For many of us, January is a time to reset, exercise, and get mind and body in order for the start of a new year. But someone who clearly hasn+AOIAgACZ-t downl +ICY"
UK-News,MPs vote to drop child refugee protections from Brexit bill,"The Commons has rejected proposals to keep protections for child refugees in the redrafted EU withdrawal agreement bill, triggering dismay from campai +ICY"
Music,"Instead of celebrating Adele's weight loss, may I suggest something else?","Adele may have dubious views on tax, but one thing is for certain: the rest of her resume is nearly flawless. Her first album, some of which she wrote +ICY"
UK-News,Weakening North Atlantic Drift could bring colder UK winters,"Deep snow drifts, skating along frozen rivers and weeks of sub-zero temperatures used to be normal features of a British winter, but they are rare tod +ICY"
UK-News,Move by Prince Harry and Meghan signals a slimmed-down future,The announcement by the Duke and Duchess of Sussex that they are to step back as senior members of the royal family follows a year of stress and uneas +ICY
UK-News,Hadrian's wall fort gifted to England's historic sites collection,"A Roman fort at Hadrian+AOIAgACZ-s wall, in Northumberland, built around 122AD and which housed a garrison of 500 soldiers from Gaul, has been given to the nat +ICY"
UK-News,Town of the Year push falls flat after failure to realise site is a city,A new government Town of the Year competition has backfired spectacularly after officials failed to realise that it was being launched in a place that +ICY
UK-News,"Glaucoma patients going blind due to treatment delays, watchdog finds","People with glaucoma are going blind because NHS eyesight services have +AOIAgACc-inadequate capacity+AOIAgACd to follow up such patients properly after diagnosis, an +ICY"
UK-News,'Megxit' dominates as world pores over Meghan and Harry splinter group,"The news that the Duke and Duchess of Sussex will be stepping back from their roles as senior members of the royal family has been met with shock, mis +ICY"
UK-News,"100,000 children in London 'without secure immigration status'","New research estimates that more than 100,000 children are living in London without secure immigration status, despite more than half of them having b +ICY"
Music,Two new David Bowie records to be released in 2020,"Two new David Bowie records will be released this year, with a digital EP featuring unheard versions of songs being released weekly and a live session +ICY"
Books,A World Without Work by Daniel Susskind review +AOIAgACT should we be delighted or terrified?,Oscar Wilde dreamed of a world without work. In The Soul of Man Under Socialism (1891) he imagined a society liberated from drudgery by the machine: +AOIAgACc +ICY
Books,The Doll by Ismail Kadare review +AOIAgACT a fascinating study of difficult love,"At first acquaintance, Ismail Kadare+AOIAgACZ-s autobiographical novel can be read as an elegant, slightly bittersweet coming-of-age memoir, touched with nosta +ICY"
Books,The Way We Eat Now by Bee Wilson review +AOIAgACT strategies for eating in a world of change,"In recent years, how and what we eat has been transformed. +AOIAgACc-These changes are written on the land, on our bodies and on our plates,+AOIAgACd Wilson writes. Th +ICY"
UK-News,Police issue warning over posts 'identifying Reynhard Sinaga victims',Police have issued a warning after a number of social media posts purportedly identified victims of the serial rapist Reynhard Sinaga. Greater Manches +ICY
Music,The Clash's 40 greatest songs +AOIAgACT ranked!,"40. 1977 (1977) A historical artefact, not for the proto-punk music, but because the lyrics epitomise the new wave+AOIAgACZ-s perceived threat to the old guard +ICY"
Books,Good Husbandry by Kristin Kimball review +AOIAgACT a new life on a community farm,"Kristin Kimball was a freelance writer living in New York when, at the age of 31, she went to interview an idealistic young organic farmer in Pennsylv +ICY"
Music,Georgia: Seeking Thrills review +AOIAgACT a bold British hymn to hedonism,"The photo on the cover of Georgia Barnes+AOIAgACZ-s second album seems telling. At first glance, it looks like one of those classic late 80s/early 90s club sho +ICY"
UK-News,'I don't blame them': readers on Harry and Meghan,Summary: +AOIAgACY-I don+AOIAgACZ-t blame them+AOIAgACZ I thought this would happen. The British newspapers have unfairly targeted Meghan Markle since the wedding. Making individuals ou +ICY
Music,Beethoven: The Late Quartets review +AOIAgACT serene and assured performances,"Summary: The Brodsky Quartet have taken their time over the Beethoven quartets. In 2006, they released a disc of two of the Rasumovsky quartets, Opp 59 Nos 2 a +ICY"
UK-News,Fresh attempt to sue Libya for supplying IRA with Semtex explosive,A fresh attempt to sue Libya for supplying the IRA with the plastic explosive Semtex during the Troubles is being launched by victims and the bereaved +ICY
Music,Keeley Forsyth: how the Happy Valley actor became the new Scott Walker,"Yorkshire is the backdrop to many disquieting works of art, such as David Peace+AOIAgACZ-s Red Riding Quartet, Bram Stoker+AOIAgACZ-s Dracula and the Bront+AMMAqw-s+AOIAgACZ explorati +ICY"
UK-News,Scottish Labour 'could back second independence referendum',"Scottish Labour is considering backing a second independence referendum in a dramatic reversal of policy by the party leader, Richard Leonard. Party s +ICY"
Music,Marianne Crebassa/Faz+AMQAsQ-l Say review +AOIAgACT singer and pianist in creative harmony,"A standard vocal recital has the singer stealing the limelight from an all too often anonymous pianist, and the repertoire lightening up towards the e +ICY"
Music,Harry Kupfer obituary,"Harry Kupfer, who has died aged 84, was a towering figure in opera production with a career spanning 60 years. A native of Berlin, for the first two d +ICY"
UK-News,Man accused of Pride attack plot 'showed sister how to stab someone',A man cleared of a 2017 sword attack on police outside Buckingham Palace demonstrated to his sister how to stab someone as he plotted a terrorist atro +ICY
Books,'Weirdos' in No 10: the magic touch this government needs?,"This week the government said that Boris Johnson+AOIAgACZ-s chief adviser, Dominic Cummings, would not be able to bypass civil service recruitment processes in +ICY"
UK-News,How Harry and Meghan may start cutting the royal purse strings,The Duke and Duchess of Sussex have said they will +AOIAgACc-work to become financially independent+AOIAgACd as they step back from official royal duties. While that m +ICY
UK-News,Prince Harry and Meghan+AOIAgACZ-s decision to 'escape' looks like a carefully laid plan,"Prince Harry and Meghan+AOIAgACZ-s surprise decision +AOIAgACT at least to members of the royal family, now said to be +AOIAgACc-incandescent with rage+AOIAgACdAOIAgACT to split the confines +ICY"
UK-News,Prince Harry and Meghan 'defied Queen' over statement release,"The Queen, Prince of Wales and Duke of Cambridge have instructed their senior aides to work with the UK and Canadian governments to help carve out new +ICY"
UK-News,Counter-terrorism police investigate attack on prison officers,Counter-terrorism police are investigating an attack by two inmates at a maximum-security jail that resulted in five prison officers being taken to ho +ICY
